CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_1,Cum_Hosp_2
Briscoe,78,266,1101,95.70081267539754,86.03337391228045,105.08066107276066,26.43235544425384,24.33165050981235,28.460411238196347,41.43173133878321,37.35152802588613,45.4729508268463,27.67322302612223,24.21622781253589,31.438794766353347,15.936024546447436,14.018128513813323,17.861772641382963,7.102763057481736,4.802707681365631,4.011260569798547
Brooks,453,1465,4930,144.4409069107826,119.45587439119072,172.71347116916905,58.02290798396314,47.71234003733932,68.54627413734052,63.10110002984312,52.35752738882388,75.76973180817083,23.34579861230152,18.91557424617561,28.34729783896316,24.48879885099278,19.750030295540856,29.37105371305262,14.483136080828094,6.675417192761271,3.1910460089832187
Brown,2126,6834,29749,360.12899323480747,280.44408679368377,463.7392643626284,149.90780982586892,117.18558366187534,194.54055990621976,142.26777100197123,111.90773980348077,183.1423881401123,67.89498434034209,52.42816826168632,88.4889603401332,58.17462682902849,45.24092822271321,76.50977218288313,35.44415584562015,13.870901114918905,8.805996478901363
Burleson,1116,3611,14748,165.7981455382145,130.20360811858563,213.344245986004,74.36345486721106,55.69736232206268,93.94544329587946,62.0973594489178,50.66781207954981,79.39317967199732,30.113752855643693,23.949471819746314,39.61586397918895,28.60393751072155,22.427949053804078,37.63539659701882,18.072921369872624,6.4178167942834285,4.021868430372155
Burnet,2722,9252,42017,434.42213296085015,321.6977652873698,566.9958110088019,185.2137086908461,135.9930145005622,244.92832233228023,155.11558489607705,117.0151609985626,202.72419147893976,93.01628469777772,69.15265632758496,122.66620203761626,70.58093879352204,53.18623166117244,92.8105361141212,43.59839170817267,15.20105978291586,11.781532288609544
Caldwell,3104,9875,36880,344.33943832056514,265.7198730629729,442.2233285815425,151.65243465324716,113.42559179577354,197.53102017758533,137.2059671792303,105.59494761758523,172.3720026962144,54.97237623417156,42.35962706185404,71.56494064900501,56.72712558245419,42.60240909549375,72.84026133550468,36.03617008041577,13.567100729131107,7.216321978681849
Calhoun,1187,3807,14702,203.2518614325503,163.65265136276167,259.9209755865812,87.83492918554184,68.21038461650274,110.5611114596456,81.53778293962353,63.98059639934549,104.24871105539684,34.29230969714963,26.9077423375084,44.07927264537337,34.26868672021391,26.96693433747895,44.21263149911388,21.335280217898884,8.427516625394688,4.554129199042721
Callahan,738,2672,10964,234.95858437061707,181.79925720791832,281.3224425937169,90.32497030064862,72.17675282077398,108.62383548678666,94.04693442720556,73.98959724149705,111.94626004964933,50.818602946472026,38.5134516537124,61.2117087124828,38.19152256722301,29.20214960209227,47.232807621958656,22.07830140552908,9.548196379312802,6.69854620584796
Cameron,29717,104428,292565,223.338569824754,175.8511862119612,288.69550993660647,104.1128616004421,79.02655243016727,140.1452964990374,92.39541294706842,72.67138859823822,117.4882613555916,27.116422253662293,21.02553691969746,34.94559935581526,36.975355341010825,28.377036731015355,48.41512401610224,24.17470451228462,9.230396974622646,3.562171861188487
Camp,964,2870,9166,186.469389439955,153.59435454976418,229.4767685962021,85.27761013237887,70.4849396605119,104.67403092517551,73.61226128100559,59.88102037643968,91.01787479310003,26.926972498433223,21.65541760397099,34.168245179585824,32.204826013267684,26.009023751554007,39.78049990403933,20.978860090699776,7.681934350289195,3.5871171831686417
Carson,295,1212,4371,205.7152811697165,174.2324270882143,245.6757278779,63.65487715940461,55.26036431623568,72.32081167552069,94.9671800899622,79.64065414560619,114.6584848036185,47.21834583940898,38.71630601628375,58.18117097389568,32.61212908588395,27.750059373258956,39.08135372780942,16.31534132998522,9.98375170728093,6.435846908511898
