CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_1,Cum_Hosp_2
Anderson,3009,9494,45233,14.849017352470888,12.41253546803462,17.388329895629003,4.846480332105833,3.8669142962812795,5.898484096362661,8.695838984394264,7.432824926504997,10.082326953434466,1.263608802724054,1.0580209678852068,1.49824510043169,2.555632856076081,2.0687824837110953,3.008504881729682,1.2594980094827246,1.101371778356671,0.18985077709841858
Andrews,1473,4847,12344,9.687489167633512,8.297305398940974,11.18812562285563,3.204467918706709,2.6298337245054344,3.7936340018079697,6.0422919980649965,5.320912344173198,6.951126012568797,0.4215801824146471,0.36234529157570605,0.49018357514403504,1.7218334214576365,1.4475252240049794,2.0394000875700034,0.8477524596789787,0.8132628237284318,0.06419212014390105
Angelina,5759,18551,63009,15.535633381124402,12.969198981405551,18.433022420891074,5.1571250779814655,4.145900020123979,6.204369151506971,9.416798383011473,8.045582694196273,11.058476974249334,0.9918847859496429,0.8223780734261292,1.1717205838252296,2.659331289908961,2.2092446992846617,3.185320431600839,1.3340664185232125,1.1733045313970742,0.14696345271832284
Aransas,1123,3859,20392,12.398878900903068,10.593102864672062,14.665638978289886,3.7990540431680797,3.1165187877966023,4.62727681973561,7.5190792828842525,6.509784119821242,8.766188909935199,1.125570693254534,0.9564576984714706,1.3285230029690935,2.1345552042820435,1.8249145211574311,2.5888130049948805,0.9847706945463992,0.9762825984354357,0.16850378118781328
Archer,468,1761,6800,10.976438636332421,9.424910170004662,13.01186277389171,3.359503517803104,2.8161797250200764,4.0786872043517235,6.7806664028970705,5.8162521399849485,7.913192249780964,0.8467288575429073,0.719321698682456,1.0099831212332602,1.9020805116697366,1.6125929954933862,2.256980620730587,0.887106608871109,0.8936604590506741,0.12777172184258745
Armstrong,109,337,1386,13.670715708060644,11.746768478192976,15.621907647961955,5.006614039399286,4.20988762731596,5.856310169043197,7.367879245090216,6.361789447829399,8.346283130895849,1.3159586505949366,1.1099098601910873,1.5149217465600715,2.474851058445635,2.0917462337374144,2.918661645864,1.3252495810474856,0.9656155344438613,0.1989793255477984
Atascosa,3433,11779,36572,11.154504844967773,9.561208545496306,12.799810974019666,3.3316339340017027,2.752954422831938,3.858455458934191,7.299799709018526,6.260043378115619,8.342742811503717,0.5346381816521457,0.4575942546309956,0.6179238605967893,1.8991883954223778,1.6312399367218282,2.2052033161484674,0.8734711681221771,0.9481520177350441,0.08076660736409008
Austin,1827,6332,23518,14.049781912967024,12.109653837413715,16.646362913142898,4.699602811546226,3.904539634880993,5.721055849993861,8.31397936154607,7.1864449580095355,9.652323331239945,1.0903371013748133,0.9321730577317618,1.2842525542292806,2.456604741477105,2.0696164106798034,2.889783426955431,1.222866221576615,1.0636648844904326,0.16310202700570914
Bailey,559,1644,4469,13.961114882028234,12.176968036177225,16.661410305238736,4.3130735468624,3.657602564474859,5.372906966492875,9.153550447350128,7.99619473673166,10.701637844132089,0.5534217216216286,0.4787049361303045,0.6604359026429271,2.353988851199411,2.0499993074021527,2.8551355050500677,1.1347263083374541,1.1470629588030035,0.0822899394642905
Bandera,897,3282,18458,17.2132932746673,14.264127771570456,20.37839179469586,5.517293882046881,4.467308194193248,6.776886532740497,9.492564018573507,7.96271983252539,11.078667530675057,2.1547169370033283,1.7811914285027632,2.546568778018938,2.9262173036686967,2.4218692316565997,3.5650931485752912,1.4324299519857155,1.185482445704357,0.3180809592962571
Bastrop,7173,24489,79116,16.01115432232271,13.684647545132924,18.882532763496197,5.2592287099779425,4.28734469973681,6.447253400149986,9.739168557537202,8.417761472516839,11.360392973695523,1.0550710538480903,0.8974859491277009,1.2447589783659934,2.7270901008968833,2.280780217480691,3.250240171421336,1.3653249834005503,1.215596455147645,0.1557061186464219
Baylor,198,645,2620,11.624231678087039,10.242638594350252,13.744683549448089,3.8091950187829084,3.2564309851836404,4.601849651943336,6.969794830632235,6.171959426199952,8.100937849820603,0.8702830392288681,0.7635937836849739,1.0243379602514655,2.0555337317334965,1.7849805093398605,2.4233408468581197,1.0046202688032961,0.9206087065325235,0.1318214189704108
Bee,1571,5544,23735,17.735359645058402,14.578491655799928,21.394766584316965,4.362943849265567,3.591312310797729,5.483580266770617,12.370217728241578,10.173778897620172,14.764465266738311,1.037808747644033,0.8514452522285165,1.2693249652071856,2.7910599960302336,2.270695207256665,3.4159131602297976,1.1234175819712178,1.4971875128231067,0.15234488058608534
