CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_1,Cum_Hosp_2
Cochran,212,534,1763,14.993771780926519,12.950314490526573,17.58529674494336,5.7121930039881565,4.768386978185613,6.84754853474849,8.356693810247716,7.297544677495644,9.650103594580896,0.9201185850828397,0.7959756510417322,1.076910055362556,2.7050420860294926,2.302265893090682,3.2145967282650014,1.4876588695287392,1.0640151198282268,0.13791570572687967
Coke,177,596,2579,8.072947150937445,7.073198717625776,9.242488749199385,2.9335796564573937,2.46853054208532,3.4792754244495128,4.351325473411212,3.853687814927672,4.883229715355454,0.7911409738066906,0.6896410601008551,0.9048601659454216,1.5337496545485154,1.3180169265450055,1.7468206489784683,0.7868631232451596,0.6218234956678389,0.12158087382605509
Coleman,427,1377,6038,13.754965180604835,11.882131200287374,16.354934248298424,4.47196754415436,3.787080327301604,5.321151998576866,8.12468684447052,7.01186221557782,9.320970078873561,1.196830977239081,1.0269683291537068,1.3957130405905125,2.3952229032667547,2.0475817386211053,2.8119265281165107,1.1771826779289478,1.0458277909817295,0.18041732208738842
Collin,68206,256156,870997,16.059945861642333,13.932832722846918,19.572566312523932,4.76205890357012,3.8647346111542116,5.925621396976523,10.25529400142733,8.976422475228418,12.252893532817044,1.0921912611167783,0.9409064619816861,1.3354360606934428,2.653990917816741,2.2644532113607814,3.1952293996054233,1.2287306019247628,1.2663686642138934,0.1614485479324446
Collingsworth,167,561,1835,13.100248808557286,10.963061458372668,15.207519077268095,4.2139632633413875,3.430512101079469,5.015029050724247,7.9930427428968205,6.788205316543326,9.189979676946013,0.8922842870153345,0.7401155773105546,1.0472428274386942,2.275505775295515,1.871679204316727,2.684862908077791,1.1138714816860045,1.023859989808199,0.13224837275068976
Colorado,1380,4071,15666,9.845140138221534,8.574521026337848,11.521367403910746,3.5180783511757534,2.96942161365756,4.330216905210309,5.672976879778286,5.008145856861751,6.546546023073746,0.6259365721831365,0.5474478196750376,0.7337172596330963,1.801958584956734,1.541652211314827,2.1619242800692757,0.9342635295216486,0.7732851969102934,0.09532903088611618
Comal,10135,36867,146926,13.559284459738032,11.863239369533536,15.752946107603933,4.247638633836894,3.5611506550014465,5.047810540018581,8.258030091419812,7.18872082728883,9.574797556532785,1.1036604955098914,0.9634466656591294,1.293001132219217,2.3297756328017347,2.001674843652007,2.7878208930578805,1.0980065838791595,1.0536033937935945,0.16533474237603854
Comanche,850,2632,10568,14.270319533898926,12.430356936221953,16.678855458446524,4.5562162955362275,3.782710935914125,5.35233840067654,8.776086549694291,7.744622115248921,10.209204147980918,0.9644673454375396,0.8384987478658743,1.1269832858482076,2.4473896727195616,2.083904938118309,2.8493596945381303,1.1981468200916008,1.1079649618883707,0.14397917962824913
Concho,118,367,2812,36.36714369491539,31.519367063348884,41.917742185875156,7.696180009416548,6.495008133466993,9.2879406481403,25.593162727791487,22.18846870028323,29.24144144426391,3.114552332953375,2.6511682243814687,3.6540788853845636,5.369502341871159,4.52089174762164,6.328978231313538,1.9672593418010167,2.9511507896658573,0.44948717360155055
Cooke,2679,8621,32482,15.921815823634219,13.78529866350117,19.073861324270855,5.285335155500821,4.267223591495502,6.453157365576085,9.531373410579658,8.325622292842027,11.160039579646854,1.1567336179048113,1.0008773694658823,1.3695800232358901,2.733576464976535,2.3057654640337395,3.3423228734003536,1.366020826662906,1.1972901010387793,0.17291098584989437
Coryell,5354,15707,63817,15.09417007368005,12.718716801160204,17.74898862182221,5.445500961662781,4.402440053323153,6.79186833382406,8.488736467331037,7.237016111884902,9.832634111940147,1.1557572619832177,0.9738299718571504,1.3486445474378452,2.6808602750141164,2.1921149508977384,3.174445613848794,1.4150833243941627,1.0783248883297274,0.17402658110430075
Cottle,52,226,1016,21.24450905080412,18.739084246775494,23.889865062401228,4.300156427571002,3.6336376856526784,4.919421579493082,15.231182047416514,13.518156902368894,17.063584113845646,1.7352147115528607,1.49294549007059,1.986367483393424,3.216449144943758,2.759463603292532,3.678060262702757,1.1231471819568033,1.8433188255552455,0.2563935220962468
Crockett,200,610,2048,9.579312537403155,8.038612134723454,10.930922192384111,2.93637256626134,2.3792009144349873,3.505822545603689,6.17300443905472,5.2657511630760405,6.925491485377111,0.45238433465813743,0.3776884569489504,0.517009694807051,1.6732151417156396,1.3904428668746993,1.9317062634354172,0.7775142102589214,0.8304806804279765,0.06868928378355477
Crosby,300,1115,3502,15.454376870048304,13.1133614364165,18.22547170101449,4.090612980864172,3.2767934344208847,4.952840721714881,10.564699428362506,8.990616268806363,12.374719417519096,0.8190356706732366,0.6871162283666772,0.9708617307809971,2.479133530471914,2.077877124594172,3.0047715487481796,1.0630703928485028,1.2972834709326415,0.12070891734135719
Culberson,144,424,1628,21.327217453002223,18.424486480715448,25.626286251527745,5.48211566643904,4.540432612376674,6.924043545185744,14.762726221590436,12.83799766998476,17.557140550053223,1.057400760926861,0.8996513819784733,1.2811086432297163,3.335585773808379,2.827544943929176,4.034291109712119,1.4022815772430524,1.7701490371442186,0.15541131961758126
Dallam,819,1868,4550,13.027792625245315,11.53332540954342,15.25527034358421,5.783729380044386,4.90177584947242,7.119605273546335,6.646023761272705,5.91567523754095,7.607978561830853,0.5855148193167088,0.5167831501650337,0.6824582901915686,2.4799359936625995,2.1337798372840706,3.000388715367889,1.5241678203019853,0.8774357997373653,0.08812036462454503
Dallas,175055,538936,1892367,15.288059617020384,12.682135050399568,18.07280398058049,5.015233398614886,4.068340227421216,6.189945646017775,9.271594426224157,7.860206155364927,11.134166019709518,0.9254466980273438,0.7673429231137017,1.1061222224221567,2.5967979579085205,2.1454888648113175,3.128695007000922,1.3048567318323805,1.1699315411149893,0.13807891454123405
Dawson,876,2409,8719,15.98272973052623,13.868597131553845,19.11867463773179,5.90501869298461,4.917924590099693,7.149807017507782,8.98144524511223,7.813299677109406,10.67650707216118,1.0630901050071049,0.919282374527068,1.2725887829516713,2.858801779137429,2.3734966022246273,3.4369499298285118,1.5467793446528408,1.1409987553216905,0.1604746064892049
DeWitt,1117,3879,14933,10.50428124678199,9.112280887431545,12.119729708465105,3.2292989037843323,2.6611832437355334,3.8543289003303234,6.567809136295933,5.722265331111074,7.609543208015557,0.6960242531547762,0.6040648489253307,0.8131242895072835,1.8241253647823694,1.5510993501318024,2.150625682507824,0.8483514601501675,0.8637684752449657,0.10506468423706622
Deaf Smith,1635,4665,12047,10.239611945794447,8.919600973255536,11.96670270809533,3.2774733138811083,2.732725933042927,3.9406867782543937,6.62628582017688,5.857005582980824,7.6890288560969955,0.33300521974644254,0.29023195502114774,0.3918354686893865,1.7921656942537818,1.5337261637773716,2.1547702579830887,0.8593683289692537,0.8806016071728227,0.050322835382305364
Delta,365,1078,4077,9.393104902618944,8.059650775975246,10.88425507575361,3.5168806702019135,2.9728386759361802,4.206694481383567,5.218357719415448,4.621469480094273,6.028734016122763,0.6596568948622015,0.5775457057090382,0.774093010502045,1.7436016264494105,1.5094728355775437,2.0830208902684433,0.9331625560265853,0.7169817040682809,0.10135762205679642
Denton,57654,199676,750373,16.713643335710785,14.064701953196588,19.553042799653547,5.152987138990969,4.223434157614943,6.173627914047653,10.294603695304328,8.843890463566925,11.950373476623056,1.2129474415628358,1.0217210542199944,1.4178376516718147,2.7837958988474245,2.36563923444743,3.327887127254046,1.3301749341058058,1.274879633303705,0.1791926610508482
Dickens,88,270,1353,22.831207488600462,19.859803221931365,26.179463683277376,6.230987637950815,5.31466327638673,7.293582776296861,14.71373202732724,12.964598016100345,16.745145683391286,1.8319656540853182,1.5783530276956375,2.1208493737084053,3.669664444912309,3.14974296682532,4.301635086931239,1.6231839226431384,1.790108553198185,0.2677002329195898
Dimmit,624,2013,5620,12.286546281578648,10.441302311204375,14.372499740509388,3.275087082947926,2.6960006183920218,3.938733357042417,8.582858612166776,7.357880291049325,9.979143291228798,0.4108799702618136,0.3471850961707362,0.4810266243535788,2.023457001421841,1.7214060813176826,2.4063155710466213,0.8593175204208482,1.0982744563270606,0.06172898121344003
Donley,158,681,2375,69.12400742381655,60.18113380920839,81.33494305397129,11.522375949240605,9.906279444020981,13.891326284284048,53.90830990638866,46.755268146470044,63.13908351111954,3.90411990824388,3.3485539178894697,4.69048093050259,9.365864678911482,7.976177157527015,10.90797521106178,2.873347847407521,5.917462984165105,0.5445017118336456
Duval,664,2092,6848,13.813310533487424,11.955167560797078,16.08460465534621,3.936445976604994,3.2389705344236517,4.870727635619236,9.248645676239551,7.917816440193409,10.5811564294737,0.6276439602965638,0.5393575133678982,0.7318009142689469,2.284729779580223,1.9317473495324158,2.713493955317291,1.0233659650675007,1.1676190978378422,0.09401629952915062
Eastland,1058,3502,13477,37.22432269280431,31.45735919667318,44.28023287569553,9.453910909688348,7.849057863025393,11.65132177092063,25.42397907778658,21.620342862647234,30.193579164056978,2.3601382845793815,1.983037031032157,2.814227729085388,5.542242350093539,4.670275416063612,6.758546365428409,2.3762040900037134,2.844414912495554,0.33576301581079904
Ector,14192,40797,109505,12.567202148961016,10.516659889189347,14.636774069401614,4.6368042774386415,3.7715052855068105,5.569166792557204,7.370253602237106,6.310371327868721,8.455122840223066,0.6040662541008397,0.5115832111842336,0.7053557227758308,2.2600763822996224,1.8510686371194829,2.686831131862644,1.218317583451776,0.9535354702383011,0.09140186399136277
Edwards,84,241,1068,13.61355088160941,11.900021851259595,15.559714864084768,4.619388059959815,3.9898610496342437,5.411619311949177,7.89353406592282,6.957876693844613,8.986989080873867,1.1185700475156573,0.9692070444530082,1.2979668661781592,2.431463913759274,2.0611288485653425,2.8448051084228707,1.2194919925410475,1.0288313138134195,0.16856108445574514
El Paso,55654,193438,620788,13.875414734199246,11.749647517507908,16.116941172292147,4.068469443269861,3.273217666120861,4.760149715717338,9.074939739933303,7.768047712386482,10.547985591221734,0.7295087837228738,0.6156108307321423,0.856568208922175,2.2985152484769165,1.9215355931473868,2.644506833265671,1.0534213371743433,1.1368507491085937,0.10891425310931159
Ellis,14372,50147,158310,14.611871269181087,12.194706788753201,17.19219799258653,4.680197895087382,3.773435670606713,5.518909350090283,9.032646963814955,7.59098100806173,10.615875435142593,0.9326647819846661,0.7770225706800971,1.0949698086320245,2.4813984535400406,2.0342349939837088,2.920194670885842,1.2175795414541897,1.1251442769963922,0.1393290280135207
