,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
313,Hemphill,0_4,182,177,150,177,178,5,32,5,4,0,0,0,0,0
314,Hemphill,20,2234,2171,1836,2177,2177,63,398,57,57,0,0,0,0,0
315,Hemphill,5_19,773,589,498,592,592,184,275,181,181,0,0,0,0,0
316,Henderson,0_4,4825,4673,3949,4701,4706,152,876,124,119,0,3,2,3,3
317,Henderson,20,65765,63694,53830,64078,64091,2071,11935,1687,1674,0,0,0,0,0
318,Henderson,5_19,15568,12192,10306,12265,12273,3376,5262,3303,3295,0,0,0,0,0
319,Hidalgo,0_4,68354,67780,57527,66601,66675,574,10827,1753,1679,0,36,30,35,35
320,Hidalgo,20,594630,589635,500441,579378,579534,4995,94189,15252,15096,0,0,0,0,0
321,Hidalgo,5_19,235487,188084,159640,184859,185004,47403,75847,50628,50483,0,0,0,0,0
322,Hill,0_4,2199,2132,1803,2143,2145,67,396,56,54,0,1,1,1,1
323,Hill,20,28411,27551,23289,27682,27688,860,5122,729,723,0,0,0,0,0
324,Hill,5_19,7491,5902,4991,5927,5931,1589,2500,1564,1560,0,0,0,0,0
325,Hockley,0_4,1458,1428,1209,1421,1422,30,249,37,36,0,1,1,1,1
326,Hockley,20,15120,14805,12537,14732,14735,315,2583,388,385,0,0,0,0,0
327,Hockley,5_19,4882,3790,3210,3771,3774,1092,1672,1111,1108,0,0,0,0,0
328,Hood,0_4,3343,3189,2687,3257,3261,154,656,86,82,0,2,1,2,2
329,Hood,20,52736,50305,42395,51383,51393,2431,10341,1353,1343,0,0,0,0,0
330,Hood,5_19,11695,9152,7714,9345,9352,2543,3981,2350,2343,0,0,0,0,0
331,Hopkins,0_4,2375,2325,1969,2314,2317,50,406,61,58,0,1,1,1,1
332,Hopkins,20,28059,27471,23262,27339,27345,588,4797,720,714,0,0,0,0,0
333,Hopkins,5_19,7738,6176,5231,6147,6152,1562,2507,1591,1586,0,0,0,0,0
334,Houston,0_4,1200,1161,981,1169,1171,39,219,31,29,0,1,1,1,1
335,Houston,20,17127,16572,14002,16688,16691,555,3125,439,436,0,0,0,0,0
336,Houston,5_19,3739,2963,2504,2981,2984,776,1235,758,755,0,0,0,0,0
337,Howard,0_4,1786,1755,1487,1740,1742,31,299,46,44,0,1,1,1,1
338,Howard,20,22696,22304,18900,22114,22118,392,3796,582,578,0,0,0,0,0
339,Howard,5_19,6072,4737,4014,4696,4700,1335,2058,1376,1372,0,0,0,0,0
340,Hudspeth,0_4,107,106,90,104,104,1,17,3,3,0,0,0,0,0
341,Hudspeth,20,2957,2920,2476,2881,2882,37,481,76,75,0,0,0,0,0
342,Hudspeth,5_19,387,258,219,254,255,129,168,133,132,0,0,0,0,0
343,Hunt,0_4,7283,7103,6011,7096,7104,180,1272,187,179,0,4,3,4,4
344,Hunt,20,81965,79945,67650,79863,79881,2020,14315,2102,2084,0,0,0,0,0
345,Hunt,5_19,24099,18646,15779,18627,18641,5453,8320,5472,5458,0,0,0,0,0
346,Hutchinson,0_4,1142,1109,937,1113,1114,33,205,29,28,0,1,0,1,1
347,Hutchinson,20,14571,14145,11960,14197,14200,426,2611,374,371,0,0,0,0,0
348,Hutchinson,5_19,4320,3371,2850,3383,3386,949,1470,937,934,0,0,0,0,0
349,Irion,0_4,95,92,78,93,93,3,17,2,2,0,0,0,0,0
350,Irion,20,1159,1119,946,1129,1129,40,213,30,30,0,0,0,0,0
351,Irion,5_19,295,238,201,240,240,57,94,55,55,0,0,0,0,0
352,Jack,0_4,450,438,371,438,439,12,79,12,11,0,0,0,0,0
353,Jack,20,6706,6532,5526,6534,6535,174,1180,172,171,0,0,0,0,0
354,Jack,5_19,1719,1363,1154,1363,1364,356,565,356,355,0,0,0,0,0
355,Jackson,0_4,1114,1101,934,1085,1087,13,180,29,27,0,1,1,1,1
356,Jackson,20,10954,10828,9184,10673,10675,126,1770,281,279,0,0,0,0,0
357,Jackson,5_19,3153,2525,2142,2491,2493,628,1011,662,660,0,0,0,0,0
358,Jasper,0_4,1908,1818,1532,1859,1861,90,376,49,47,0,1,1,1,1
359,Jasper,20,24329,23187,19538,23705,23710,1142,4791,624,619,0,0,0,0,0
360,Jasper,5_19,6457,5020,4232,5127,5131,1437,2225,1330,1326,0,0,0,0,0
361,Jeff Davis,0_4,31,30,25,30,30,1,6,1,1,0,0,0,0,0
362,Jeff Davis,20,1757,1678,1415,1712,1712,79,342,45,45,0,0,0,0,0
363,Jeff Davis,5_19,68,54,46,56,56,14,22,12,12,0,0,0,0,0
364,Jefferson,0_4,16250,15950,13513,15833,15851,300,2737,417,399,0,8,7,8,8
365,Jefferson,20,183865,180474,152894,179149,179188,3391,30971,4716,4677,0,0,0,0,0
366,Jefferson,5_19,51381,41352,35033,41052,41086,10029,16348,10329,10295,0,0,0,0,0
367,Jim Hogg,0_4,311,304,257,303,303,7,54,8,8,0,0,0,0,0
368,Jim Hogg,20,3202,3126,2646,3120,3121,76,556,82,81,0,0,0,0,0
369,Jim Hogg,5_19,1207,933,790,931,931,274,417,276,276,0,0,0,0,0
370,Jim Wells,0_4,2535,2503,2122,2470,2473,32,413,65,62,0,1,1,1,1
371,Jim Wells,20,27145,26799,22728,26449,26455,346,4417,696,690,0,0,0,0,0
372,Jim Wells,5_19,8982,7211,6116,7120,7125,1771,2866,1862,1857,0,0,0,0,0
373,Johnson,0_4,12855,12363,10435,12525,12539,492,2420,330,316,0,7,6,7,7
374,Johnson,20,145711,140138,118281,141974,142002,5573,27430,3737,3709,0,0,0,0,0
375,Johnson,5_19,44340,34720,29308,35175,35201,9620,15032,9165,9139,0,0,0,0,0
376,Jones,0_4,813,801,679,792,793,12,134,21,20,0,0,0,0,0
377,Jones,20,16481,16232,13760,16058,16062,249,2721,423,419,0,0,0,0,0
378,Jones,5_19,3087,2402,2036,2377,2378,685,1051,710,709,0,0,0,0,0
379,Karnes,0_4,758,749,635,739,739,9,123,19,19,0,0,0,0,0
380,Karnes,20,11663,11527,9778,11364,11367,136,1885,299,296,0,0,0,0,0
381,Karnes,5_19,2597,2027,1719,1999,2001,570,878,598,596,0,0,0,0,0
382,Kaufman,0_4,13619,13251,11208,13270,13284,368,2411,349,335,0,7,6,7,7
383,Kaufman,20,127478,124030,104908,124208,124234,3448,22570,3270,3244,0,0,0,0,0
384,Kaufman,5_19,44593,35776,30262,35831,35859,8817,14331,8762,8734,0,0,0,0,0
385,Kendall,0_4,2384,2260,1902,2323,2325,124,482,61,59,0,1,1,1,1
386,Kendall,20,38241,36245,30509,37260,37267,1996,7732,981,974,0,0,0,0,0
387,Kendall,5_19,9912,7570,6375,7779,7783,2342,3537,2133,2129,0,0,0,0,0
388,Kenedy,0_4,10,10,8,10,10,0,2,0,0,0,0,0,0,0
389,Kenedy,20,281,278,236,274,274,3,45,7,7,0,0,0,0,0
390,Kenedy,5_19,52,38,33,38,38,14,19,14,14,0,0,0,0,0
391,Kent,0_4,43,40,34,42,42,3,9,1,1,0,0,0,0,0
392,Kent,20,546,511,430,532,532,35,116,14,14,0,0,0,0,0
393,Kent,5_19,145,94,79,98,98,51,66,47,47,0,0,0,0,0
394,Kerr,0_4,2453,2356,1988,2390,2393,97,465,63,60,0,1,1,1,1
395,Kerr,20,42717,41029,34621,41621,41630,1688,8096,1096,1087,0,0,0,0,0
396,Kerr,5_19,8745,6557,5533,6652,6657,2188,3212,2093,2088,0,0,0,0,0
397,Kimble,0_4,228,224,190,222,222,4,38,6,6,0,0,0,0,0
398,Kimble,20,3546,3481,2949,3455,3456,65,597,91,90,0,0,0,0,0
399,Kimble,5_19,668,529,448,525,526,139,220,143,142,0,0,0,0,0
400,King,0_4,10,9,8,10,10,1,2,0,0,0,0,0,0,0
401,King,20,165,152,127,161,161,13,38,4,4,0,0,0,0,0
402,King,5_19,42,34,28,36,36,8,14,6,6,0,0,0,0,0
403,Kinney,0_4,138,136,115,134,135,2,23,4,3,0,0,0,0,0
404,Kinney,20,2503,2463,2088,2439,2439,40,415,64,64,0,0,0,0,0
405,Kinney,5_19,507,371,315,368,368,136,192,139,139,0,0,0,0,0
406,Kleberg,0_4,1915,1891,1604,1866,1868,24,311,49,47,0,1,1,1,1
407,Kleberg,20,21304,21039,17844,20758,20766,265,3460,546,538,0,0,0,0,0
408,Kleberg,5_19,6850,4810,4080,4747,4751,2040,2770,2103,2099,0,0,0,0,0
409,Knox,0_4,208,205,174,203,203,3,34,5,5,0,0,0,0,0
410,Knox,20,2329,2301,1952,2269,2270,28,377,60,59,0,0,0,0,0
411,Knox,5_19,765,633,537,624,625,132,228,141,140,0,0,0,0,0
412,La Salle,0_4,331,330,280,323,323,1,51,8,8,0,0,0,0,0
413,La Salle,20,5124,5108,4340,4993,4994,16,784,131,130,0,0,0,0,0
414,La Salle,5_19,1082,753,639,735,736,329,443,347,346,0,0,0,0,0
415,Lamar,0_4,3413,3346,2834,3325,3329,67,579,88,84,0,2,2,2,2
416,Lamar,20,37336,36604,31003,36378,36386,732,6333,958,950,0,0,0,0,0
417,Lamar,5_19,10378,8323,7050,8273,8280,2055,3328,2105,2098,0,0,0,0,0
418,Lamb,0_4,816,808,685,795,796,8,131,21,20,0,0,0,0,0
419,Lamb,20,8906,8816,7481,8678,8679,90,1425,228,227,0,0,0,0,0
420,Lamb,5_19,2989,2391,2029,2355,2356,598,960,634,633,0,0,0,0,0
421,Lampasas,0_4,1120,1068,900,1091,1092,52,220,29,28,0,1,0,1,1
422,Lampasas,20,17849,17012,14335,17391,17394,837,3514,458,455,0,0,0,0,0
423,Lampasas,5_19,4293,3323,2800,3400,3402,970,1493,893,891,0,0,0,0,0
424,Lavaca,0_4,1252,1220,1032,1220,1221,32,220,32,31,0,1,1,1,1
425,Lavaca,20,15278,14889,12597,14886,14889,389,2681,392,389,0,0,0,0,0
426,Lavaca,5_19,4041,3177,2689,3175,3177,864,1352,866,864,0,0,0,0,0
427,Lee,0_4,1015,995,843,989,990,20,172,26,25,0,1,0,1,1
428,Lee,20,13953,13680,11587,13595,13598,273,2366,358,355,0,0,0,0,0
429,Lee,5_19,3272,2502,2120,2488,2490,770,1152,784,782,0,0,0,0,0
430,Leon,0_4,957,937,794,932,933,20,163,25,24,0,0,0,0,0
431,Leon,20,12388,12134,10276,12070,12072,254,2112,318,316,0,0,0,0,0
432,Leon,5_19,3193,2576,2182,2562,2564,617,1011,631,629,0,0,0,0,0
433,Liberty,0_4,8129,8003,6783,7920,7929,126,1346,209,200,0,4,3,4,4
434,Liberty,20,72416,71291,60429,70559,70575,1125,11987,1857,1841,0,0,0,0,0
435,Liberty,5_19,27727,22640,19192,22412,22430,5087,8535,5315,5297,0,0,0,0,0
436,Limestone,0_4,1255,1236,1048,1223,1224,19,207,32,31,0,1,1,1,1
437,Limestone,20,16747,16493,13981,16317,16321,254,2766,430,426,0,0,0,0,0
438,Limestone,5_19,4248,3410,2891,3373,3376,838,1357,875,872,0,0,0,0,0
439,Lipscomb,0_4,173,168,142,169,169,5,31,4,4,0,0,0,0,0
440,Lipscomb,20,2099,2038,1723,2045,2046,61,376,54,53,0,0,0,0,0
441,Lipscomb,5_19,634,489,414,490,490,145,220,144,144,0,0,0,0,0
442,Live Oak,0_4,541,533,452,527,528,8,89,14,13,0,0,0,0,0
443,Live Oak,20,9198,9070,7691,8962,8964,128,1507,236,234,0,0,0,0,0
444,Live Oak,5_19,1845,1495,1268,1478,1479,350,577,367,366,0,0,0,0,0
445,Llano,0_4,984,949,802,959,960,35,182,25,24,0,1,0,1,1
446,Llano,20,18992,18321,15472,18505,18508,671,3520,487,484,0,0,0,0,0
447,Llano,5_19,2899,2269,1916,2291,2293,630,983,608,606,0,0,0,0,0
448,Lubbock,0_4,19829,19324,16349,19320,19342,505,3480,509,487,0,10,9,11,11
449,Lubbock,20,232217,226297,191465,226261,226335,5920,40752,5956,5882,0,0,0,0,0
450,Lubbock,5_19,68894,49525,41906,49519,49557,19369,26988,19375,19337,0,0,0,0,0
451,Lynn,0_4,381,367,310,371,372,14,71,10,9,0,0,0,0,0
452,Lynn,20,4011,3860,3259,3908,3909,151,752,103,102,0,0,0,0,0
453,Lynn,5_19,1369,1100,929,1113,1114,269,440,256,255,0,0,0,0,0
454,Madison,0_4,920,912,774,896,897,8,146,24,23,0,1,0,0,0
455,Madison,20,10314,10222,8675,10049,10052,92,1639,265,262,0,0,0,0,0
456,Madison,5_19,2508,1964,1667,1933,1934,544,841,575,574,0,0,0,0,0
457,Marion,0_4,411,406,344,400,401,5,67,11,10,0,0,0,0,0
458,Marion,20,7667,7576,6426,7470,7472,91,1241,197,195,0,0,0,0,0
459,Marion,5_19,1493,1194,1013,1178,1178,299,480,315,315,0,0,0,0,0
460,Martin,0_4,350,337,284,341,341,13,66,9,9,0,0,0,0,0
461,Martin,20,3423,3293,2780,3335,3336,130,643,88,87,0,0,0,0,0
462,Martin,5_19,1443,1158,978,1176,1176,285,465,267,267,0,0,0,0,0
463,Mason,0_4,165,158,133,161,161,7,32,4,4,0,0,0,0,0
464,Mason,20,3113,2974,2507,3033,3034,139,606,80,79,0,0,0,0,0
465,Mason,5_19,653,490,413,500,500,163,240,153,153,0,0,0,0,0
466,Matagorda,0_4,2636,2593,2198,2568,2571,43,438,68,65,0,2,1,2,2
467,Matagorda,20,26018,25597,21694,25351,25356,421,4324,667,662,0,0,0,0,0
468,Matagorda,5_19,7705,6221,5273,6162,6167,1484,2432,1543,1538,0,0,0,0,0
469,Maverick,0_4,4886,4859,4127,4761,4766,27,759,125,120,0,3,2,3,3
470,Maverick,20,38090,37883,32170,37113,37123,207,5920,977,967,0,0,0,0,0
471,Maverick,5_19,14786,11867,10077,11621,11632,2919,4709,3165,3154,0,0,0,0,0
472,McCulloch,0_4,362,350,296,353,353,12,66,9,9,0,0,0,0,0
473,McCulloch,20,5740,5554,4693,5593,5594,186,1047,147,146,0,0,0,0,0
474,McCulloch,5_19,1350,1069,904,1077,1077,281,446,273,273,0,0,0,0,0
475,McLennan,0_4,17117,16777,14210,16678,16697,340,2907,439,420,0,9,8,9,9
476,McLennan,20,193354,189516,160513,188395,188450,3838,32841,4959,4904,0,0,0,0,0
477,McLennan,5_19,58112,42404,35916,42159,42193,15708,22196,15953,15919,0,0,0,0,0
478,McMullen,0_4,27,26,22,26,26,1,5,1,1,0,0,0,0,0
479,McMullen,20,428,413,349,417,417,15,79,11,11,0,0,0,0,0
480,McMullen,5_19,113,74,63,75,75,39,50,38,38,0,0,0,0,0
481,Medina,0_4,3043,2993,2536,2965,2968,50,507,78,75,0,2,1,2,2
482,Medina,20,40955,40276,34133,39905,39913,679,6822,1050,1042,0,0,0,0,0
483,Medina,5_19,10799,8389,7110,8313,8320,2410,3689,2486,2479,0,0,0,0,0
484,Menard,0_4,84,83,70,82,82,1,14,2,2,0,0,0,0,0
485,Menard,20,1555,1537,1304,1515,1515,18,251,40,40,0,0,0,0,0
486,Menard,5_19,319,254,215,250,250,65,104,69,69,0,0,0,0,0
487,Midland,0_4,14732,14420,12210,14354,14370,312,2522,378,362,0,8,7,8,8
488,Midland,20,120913,118350,100213,117812,117839,2563,20700,3101,3074,0,0,0,0,0
489,Midland,5_19,41463,33920,28720,33761,33796,7543,12743,7702,7667,0,0,0,0,0
490,Milam,0_4,1468,1437,1217,1430,1432,31,251,38,36,0,1,1,1,1
491,Milam,20,19439,19026,16110,18940,18944,413,3329,499,495,0,0,0,0,0
492,Milam,5_19,5044,3973,3365,3957,3959,1071,1679,1087,1085,0,0,0,0,0
493,Mills,0_4,203,198,167,198,198,5,36,5,5,0,0,0,0,0
494,Mills,20,3538,3442,2912,3447,3448,96,626,91,90,0,0,0,0,0
495,Mills,5_19,807,640,541,641,641,167,266,166,166,0,0,0,0,0
496,Mitchell,0_4,409,403,341,399,399,6,68,10,10,0,0,0,0,0
497,Mitchell,20,7045,6937,5880,6864,6866,108,1165,181,179,0,0,0,0,0
498,Mitchell,5_19,1621,1275,1080,1262,1263,346,541,359,358,0,0,0,0,0
499,Montague,0_4,1150,1076,903,1121,1122,74,247,29,28,0,1,0,1,1
500,Montague,20,16258,15210,12771,15841,15844,1048,3487,417,414,0,0,0,0,0
501,Montague,5_19,4190,3237,2720,3364,3366,953,1470,826,824,0,0,0,0,0
502,Montgomery,0_4,44855,43266,36538,43705,43753,1589,8317,1150,1102,0,23,20,23,23
503,Montgomery,20,510814,492723,416101,497712,497809,18091,94713,13102,13005,0,0,0,0,0
504,Montgomery,5_19,155685,123120,103985,124377,124468,32565,51700,31308,31217,0,0,0,0,0
505,Moore,0_4,1964,1944,1650,1914,1916,20,314,50,48,0,1,1,1,1
506,Moore,20,13861,13721,11642,13505,13509,140,2219,356,352,0,0,0,0,0
507,Moore,5_19,5365,4348,3689,4280,4284,1017,1676,1085,1081,0,0,0,0,0
508,Morris,0_4,640,632,536,624,624,8,104,16,16,0,0,0,0,0
509,Morris,20,9059,8942,7583,8827,8828,117,1476,232,231,0,0,0,0,0
510,Morris,5_19,2367,1907,1618,1883,1884,460,749,484,483,0,0,0,0,0
511,Motley,0_4,54,51,43,53,53,3,11,1,1,0,0,0,0,0
512,Motley,20,798,760,640,778,778,38,158,20,20,0,0,0,0,0
513,Motley,5_19,168,119,101,122,122,49,67,46,46,0,0,0,0,0
514,Nacogdoches,0_4,4145,4070,3448,4039,4043,75,697,106,102,0,2,2,2,2
515,Nacogdoches,20,46381,45543,38586,45191,45207,838,7795,1190,1174,0,0,0,0,0
516,Nacogdoches,5_19,14849,10111,8567,10035,10042,4738,6282,4814,4807,0,0,0,0,0
517,Navarro,0_4,3720,3662,3104,3625,3629,58,616,95,91,0,2,2,2,2
518,Navarro,20,38994,38382,32533,37994,38002,612,6461,1000,992,0,0,0,0,0
519,Navarro,5_19,12921,10134,8590,10032,10041,2787,4331,2889,2880,0,0,0,0,0
520,Newton,0_4,591,564,475,576,576,27,116,15,15,0,0,0,0,0
521,Newton,20,9444,9011,7594,9202,9203,433,1850,242,241,0,0,0,0,0
522,Newton,5_19,2004,1565,1320,1595,1595,439,684,409,409,0,0,0,0,0
523,Nolan,0_4,889,874,741,866,867,15,148,23,22,0,0,0,0,0
524,Nolan,20,10327,10151,8602,10062,10064,176,1725,265,263,0,0,0,0,0
525,Nolan,5_19,3090,2412,2044,2391,2393,678,1046,699,697,0,0,0,0,0
526,Nueces,0_4,21586,21268,18030,21032,21056,318,3556,554,530,0,12,10,11,11
527,Nueces,20,259391,255565,216656,252738,252796,3826,42735,6653,6595,0,0,0,0,0
528,Nueces,5_19,71312,55787,47296,55186,55228,15525,24016,16126,16084,0,0,0,0,0
529,Ochiltree,0_4,746,732,620,727,728,14,126,19,18,0,0,0,0,0
530,Ochiltree,20,6461,6339,5370,6295,6297,122,1091,166,164,0,0,0,0,0
531,Ochiltree,5_19,2497,1943,1645,1930,1932,554,852,567,565,0,0,0,0,0
532,Oldham,0_4,82,77,65,80,80,5,17,2,2,0,0,0,0,0
533,Oldham,20,1371,1291,1086,1336,1336,80,285,35,35,0,0,0,0,0
534,Oldham,5_19,330,257,217,267,267,73,113,63,63,0,0,0,0,0
535,Orange,0_4,5556,5317,4484,5413,5420,239,1072,143,136,0,3,2,3,3
536,Orange,20,61899,59236,49951,60311,60323,2663,11948,1588,1576,0,0,0,0,0
537,Orange,5_19,18267,14513,12240,14773,14785,3754,6027,3494,3482,0,0,0,0,0
538,Palo Pinto,0_4,1780,1725,1458,1734,1736,55,322,46,44,0,1,1,1,1
539,Palo Pinto,20,22206,21515,18184,21636,21641,691,4022,570,565,0,0,0,0,0
540,Palo Pinto,5_19,5761,4566,3859,4592,4595,1195,1902,1169,1166,0,0,0,0,0
541,Panola,0_4,1329,1294,1095,1295,1296,35,234,34,33,0,1,1,1,1
542,Panola,20,16955,16511,13968,16520,16523,444,2987,435,432,0,0,0,0,0
543,Panola,5_19,4554,3535,2991,3536,3539,1019,1563,1018,1015,0,0,0,0,0
544,Parker,0_4,10164,9681,8156,9903,9914,483,2008,261,250,0,5,4,5,5
545,Parker,20,127166,121117,102042,123904,123926,6049,25124,3262,3240,0,0,0,0,0
546,Parker,5_19,36164,28467,23987,29117,29139,7697,12177,7047,7025,0,0,0,0,0
547,Parmer,0_4,697,684,579,679,680,13,118,18,17,0,0,0,0,0
548,Parmer,20,6660,6535,5536,6489,6491,125,1124,171,169,0,0,0,0,0
549,Parmer,5_19,2260,1790,1516,1778,1779,470,744,482,481,0,0,0,0,0
550,Pecos,0_4,920,891,753,896,897,29,167,24,23,0,0,0,1,1
551,Pecos,20,10624,10285,8691,10352,10354,339,1933,272,270,0,0,0,0,0
552,Pecos,5_19,3079,2423,2049,2435,2436,656,1030,644,643,0,0,0,0,0
553,Polk,0_4,2734,2686,2276,2664,2667,48,458,70,67,0,1,1,1,1
554,Polk,20,42092,41357,35043,41012,41019,735,7049,1080,1073,0,0,0,0,0
555,Polk,5_19,9360,7603,6443,7539,7545,1757,2917,1821,1815,0,0,0,0,0
556,Potter,0_4,7874,7716,6535,7672,7681,158,1339,202,193,0,4,4,4,4
557,Potter,20,81177,79551,67374,79095,79113,1626,13803,2082,2064,0,0,0,0,0
558,Potter,5_19,25596,20474,17341,20362,20378,5122,8255,5234,5218,0,0,0,0,0
559,Presidio,0_4,403,398,337,393,393,5,66,10,10,0,0,0,0,0
560,Presidio,20,4060,4005,3396,3956,3957,55,664,104,103,0,0,0,0,0
561,Presidio,5_19,1332,1064,903,1050,1051,268,429,282,281,0,0,0,0,0
562,Rains,0_4,626,595,501,610,611,31,125,16,15,0,0,0,0,0
563,Rains,20,10184,9676,8148,9923,9924,508,2036,261,260,0,0,0,0,0
564,Rains,5_19,2176,1559,1313,1599,1600,617,863,577,576,0,0,0,0,0
565,Randall,0_4,8875,8567,7235,8647,8657,308,1640,228,218,0,5,4,5,5
566,Randall,20,108664,104889,88589,105877,105900,3775,20075,2787,2764,0,0,0,0,0
567,Randall,5_19,30716,23288,19671,23513,23529,7428,11045,7203,7187,0,0,0,0,0
568,Reagan,0_4,235,234,199,229,229,1,36,6,6,0,0,0,0,0
569,Reagan,20,2166,2161,1836,2110,2111,5,330,56,55,0,0,0,0,0
570,Reagan,5_19,740,599,509,585,585,141,231,155,155,0,0,0,0,0
571,Red River,0_4,632,616,521,616,616,16,111,16,16,0,0,0,0,0
572,Red River,20,9070,8841,7481,8837,8839,229,1589,233,231,0,0,0,0,0
573,Red River,5_19,1976,1611,1364,1609,1610,365,612,367,366,0,0,0,0,0
574,Reeves,0_4,874,862,731,852,853,12,143,22,21,0,0,0,0,0
575,Reeves,20,8186,8071,6843,7976,7978,115,1343,210,208,0,0,0,0,0
576,Reeves,5_19,2710,2188,1855,2163,2165,522,855,547,545,0,0,0,0,0
577,Refugio,0_4,290,282,238,283,283,8,52,7,7,0,0,0,0,0
578,Refugio,20,5035,4891,4136,4906,4907,144,899,129,128,0,0,0,0,0
579,Refugio,5_19,1341,1043,882,1046,1047,298,459,295,294,0,0,0,0,0
580,Roberts,0_4,54,54,46,53,53,0,8,1,1,0,0,0,0,0
581,Roberts,20,617,617,524,601,601,0,93,16,16,0,0,0,0,0
582,Roberts,5_19,169,139,118,136,136,30,51,33,33,0,0,0,0,0
583,Robertson,0_4,1099,1085,921,1071,1072,14,178,28,27,0,1,0,1,1
584,Robertson,20,12743,12585,10674,12416,12418,158,2069,327,325,0,0,0,0,0
585,Robertson,5_19,3425,2766,2346,2729,2732,659,1079,696,693,0,0,0,0,0
586,Rockwall,0_4,7887,7518,6335,7685,7693,369,1552,202,194,0,4,3,4,4
587,Rockwall,20,93340,88969,74968,90946,90962,4371,18372,2394,2378,0,0,0,0,0
588,Rockwall,5_19,30080,23539,19840,24053,24069,6541,10240,6027,6011,0,0,0,0,0
589,Runnels,0_4,604,592,501,589,589,12,103,15,15,0,0,0,0,0
590,Runnels,20,7314,7169,6072,7126,7128,145,1242,188,186,0,0,0,0,0
591,Runnels,5_19,1950,1558,1320,1549,1550,392,630,401,400,0,0,0,0,0
592,Rusk,0_4,2818,2753,2330,2746,2749,65,488,72,69,0,1,1,1,1
593,Rusk,20,39866,38946,32967,38843,38852,920,6899,1023,1014,0,0,0,0,0
594,Rusk,5_19,10395,8270,7002,8244,8249,2125,3393,2151,2146,0,0,0,0,0
595,Sabine,0_4,530,514,434,516,517,16,96,14,13,0,0,0,0,0
596,Sabine,20,8123,7877,6659,7915,7916,246,1464,208,207,0,0,0,0,0
597,Sabine,5_19,1453,1141,965,1147,1147,312,488,306,306,0,0,0,0,0
598,San Augustine,0_4,415,402,339,404,405,13,76,11,10,0,0,0,0,0
599,San Augustine,20,6099,5904,4989,5943,5944,195,1110,156,155,0,0,0,0,0
600,San Augustine,5_19,1319,1061,897,1069,1069,258,422,250,250,0,0,0,0,0
601,San Jacinto,0_4,1491,1455,1231,1453,1454,36,260,38,37,0,1,1,1,1
602,San Jacinto,20,22161,21626,18302,21593,21597,535,3859,568,564,0,0,0,0,0
603,San Jacinto,5_19,5284,4189,3545,4183,4186,1095,1739,1101,1098,0,0,0,0,0
604,San Patricio,0_4,4640,4577,3881,4521,4526,63,759,119,114,0,2,2,2,2
605,San Patricio,20,50652,49964,42366,49353,49363,688,8286,1299,1289,0,0,0,0,0
606,San Patricio,5_19,15368,12256,10393,12109,12119,3112,4975,3259,3249,0,0,0,0,0
607,San Saba,0_4,263,257,217,256,257,6,46,7,6,0,0,0,0,0
608,San Saba,20,4607,4495,3804,4489,4490,112,803,118,117,0,0,0,0,0
609,San Saba,5_19,975,765,647,764,765,210,328,211,210,0,0,0,0,0
610,Schleicher,0_4,152,152,129,148,148,0,23,4,4,0,0,0,0,0
611,Schleicher,20,1753,1753,1490,1708,1708,0,263,45,45,0,0,0,0,0
612,Schleicher,5_19,486,353,300,345,345,133,186,141,141,0,0,0,0,0
613,Scurry,0_4,1033,1023,868,1007,1008,10,165,26,25,0,1,0,1,1
614,Scurry,20,11489,11373,9650,11194,11197,116,1839,295,292,0,0,0,0,0
615,Scurry,5_19,3690,2893,2455,2848,2850,797,1235,842,840,0,0,0,0,0
616,Shackelford,0_4,177,166,139,172,173,11,38,5,4,0,0,0,0,0
617,Shackelford,20,2407,2251,1890,2345,2346,156,517,62,61,0,0,0,0,0
618,Shackelford,5_19,645,475,399,495,495,170,246,150,150,0,0,0,0,0
619,Shelby,0_4,1709,1675,1418,1665,1667,34,291,44,42,0,1,1,1,1
620,Shelby,20,17212,16865,14283,16771,16774,347,2929,441,438,0,0,0,0,0
621,Shelby,5_19,5258,4204,3561,4180,4183,1054,1697,1078,1075,0,0,0,0,0
622,Sherman,0_4,194,189,160,189,189,5,34,5,5,0,0,0,0,0
623,Sherman,20,1872,1824,1543,1824,1824,48,329,48,48,0,0,0,0,0
624,Sherman,5_19,612,474,402,474,475,138,210,138,137,0,0,0,0,0
625,Smith,0_4,15134,14633,12363,14746,14762,501,2771,388,372,0,8,7,8,8
626,Smith,20,179320,173385,146487,174721,174760,5935,32833,4599,4560,0,0,0,0,0
627,Smith,5_19,50755,38980,32934,39279,39311,11775,17821,11476,11444,0,0,0,0,0
628,Somervell,0_4,506,483,407,493,494,23,99,13,12,0,0,0,0,0
629,Somervell,20,7552,7209,6077,7358,7360,343,1475,194,192,0,0,0,0,0
630,Somervell,5_19,1830,1428,1204,1457,1458,402,626,373,372,0,0,0,0,0
631,Starr,0_4,5542,5522,4690,5400,5406,20,852,142,136,0,3,2,3,3
632,Starr,20,42464,42308,35939,41375,41386,156,6525,1089,1078,0,0,0,0,0
633,Starr,5_19,17928,14566,12373,14242,14256,3362,5555,3686,3672,0,0,0,0,0
634,Stephens,0_4,475,452,381,463,463,23,94,12,12,0,0,0,0,0
