,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
63,Brazos,5_19,54902,32742,27748,32447,32474,22160,27154,22455,22428,0,0,0,0,0
64,Brewster,0_4,431,410,345,420,420,21,86,11,11,0,0,0,0,0
65,Brewster,20,7462,7092,5973,7271,7272,370,1489,191,190,0,0,0,0,0
66,Brewster,5_19,1620,1017,857,1041,1042,603,763,579,578,0,0,0,0,0
67,Briscoe,0_4,78,74,62,76,76,4,16,2,2,0,0,0,0,0
68,Briscoe,20,1101,1045,880,1073,1073,56,221,28,28,0,0,0,0,0
69,Briscoe,5_19,266,212,178,217,217,54,88,49,49,0,0,0,0,0
70,Brooks,0_4,453,450,382,441,442,3,71,12,11,0,0,0,0,0
71,Brooks,20,4930,4899,4160,4804,4805,31,770,126,125,0,0,0,0,0
72,Brooks,5_19,1465,1175,998,1153,1154,290,467,312,311,0,0,0,0,0
73,Brown,0_4,2126,2068,1749,2071,2074,58,377,55,52,0,1,1,1,1
74,Brown,20,29749,28942,24479,28986,28992,807,5270,763,757,0,0,0,0,0
75,Brown,5_19,6834,5167,4371,5172,5175,1667,2463,1662,1659,0,0,0,0,0
76,Burleson,0_4,1116,1107,939,1087,1089,9,177,29,27,0,1,0,1,1
77,Burleson,20,14748,14625,12413,14370,14372,123,2335,378,376,0,0,0,0,0
78,Burleson,5_19,3611,2974,2524,2922,2925,637,1087,689,686,0,0,0,0,0
79,Burnet,0_4,2722,2589,2181,2652,2655,133,541,70,67,0,1,1,1,1
80,Burnet,20,42017,39969,33666,40939,40947,2048,8351,1078,1070,0,0,0,0,0
81,Burnet,5_19,9252,7140,6015,7312,7317,2112,3237,1940,1935,0,0,0,0,0
82,Caldwell,0_4,3104,3034,2569,3024,3028,70,535,80,76,0,2,1,2,2
83,Caldwell,20,36880,36052,30520,35934,35942,828,6360,946,938,0,0,0,0,0
84,Caldwell,5_19,9875,7519,6365,7497,7502,2356,3510,2378,2373,0,0,0,0,0
85,Calhoun,0_4,1187,1177,999,1157,1158,10,188,30,29,0,1,1,1,1
86,Calhoun,20,14702,14576,12370,14325,14328,126,2332,377,374,0,0,0,0,0
87,Calhoun,5_19,3807,3023,2566,2973,2975,784,1241,834,832,0,0,0,0,0
88,Callahan,0_4,738,712,601,719,720,26,137,19,18,0,0,0,0,0
89,Callahan,20,10964,10574,8929,10683,10685,390,2035,281,279,0,0,0,0,0
90,Callahan,5_19,2672,2126,1796,2148,2150,546,876,524,522,0,0,0,0,0
91,Cameron,0_4,29717,29536,25078,28955,28987,181,4639,762,730,0,16,14,15,15
92,Cameron,20,292565,290780,246896,285061,285135,1785,45669,7504,7430,0,0,0,0,0
93,Cameron,5_19,104428,82788,70296,81199,81259,21640,34132,23229,23169,0,0,0,0,0
94,Camp,0_4,964,952,808,939,940,12,156,25,24,0,1,0,1,1
95,Camp,20,9166,9055,7680,8931,8933,111,1486,235,233,0,0,0,0,0
96,Camp,5_19,2870,2308,1957,2276,2278,562,913,594,592,0,0,0,0,0
97,Carson,0_4,295,281,236,287,288,14,59,8,7,0,0,0,0,0
98,Carson,20,4371,4159,3503,4259,4260,212,868,112,111,0,0,0,0,0
99,Carson,5_19,1212,940,792,962,963,272,420,250,249,0,0,0,0,0
100,Cass,0_4,1671,1624,1374,1628,1630,47,297,43,41,0,1,1,1,1
101,Cass,20,21511,20909,17683,20959,20963,602,3828,552,548,0,0,0,0,0
102,Cass,5_19,5477,4378,3703,4390,4393,1099,1774,1087,1084,0,0,0,0,0
103,Castro,0_4,567,561,476,552,553,6,91,15,14,0,0,0,0,0
104,Castro,20,4894,4841,4107,4768,4770,53,787,126,124,0,0,0,0,0
105,Castro,5_19,1766,1414,1200,1394,1395,352,566,372,371,0,0,0,0,0
106,Chambers,0_4,3579,3471,2934,3487,3491,108,645,92,88,0,2,1,2,2
107,Chambers,20,37561,36428,30793,36598,36605,1133,6768,963,956,0,0,0,0,0
108,Chambers,5_19,12736,10172,8600,10220,10228,2564,4136,2516,2508,0,0,0,0,0
109,Cherokee,0_4,3500,3466,2941,3410,3414,34,559,90,86,0,2,2,2,2
110,Cherokee,20,37815,37445,31773,36845,36853,370,6042,970,962,0,0,0,0,0
111,Cherokee,5_19,10902,8848,7508,8708,8715,2054,3394,2194,2187,0,0,0,0,0
112,Childress,0_4,314,303,256,306,306,11,58,8,8,0,0,0,0,0
113,Childress,20,5329,5145,4345,5192,5194,184,984,137,135,0,0,0,0,0
114,Childress,5_19,1145,868,734,874,875,277,411,271,270,0,0,0,0,0
115,Clay,0_4,541,528,447,527,528,13,94,14,13,0,0,0,0,0
